    56/399     8.16G   0.03672  0.008046         0   0.04476        18       768         0         0    0.1086    0.0254   0.05543  0.004683         0
    57/399     8.16G   0.03796  0.008105         0   0.04607        17       768         0         0   0.08731   0.01517   0.05814  0.004488         0
    58/399     8.16G   0.03521   0.00838         0   0.04359        18       768         0         0   0.08851   0.02015   0.05685  0.004597         0
    59/399     8.16G   0.03425  0.008207         0   0.04246        18       768         1   0.02326     0.164   0.03609   0.05823  0.004522         0
    60/399     8.16G   0.03527  0.008319         0   0.04359        17       768         1   0.02326    0.1823   0.03741   0.06189  0.004536         0
    61/399     8.16G   0.03565  0.008435         0   0.04408        18       768         1   0.02326    0.1469   0.03348   0.05829  0.004658         0
    62/399     8.16G    0.0344   0.00809         0   0.04249        18       768         1   0.02326    0.1166   0.02605   0.05956  0.004688         0
    63/399     8.16G   0.03421  0.008223         0   0.04243        18       768         0         0   0.08454   0.02129   0.05838  0.004834         0
    64/399     8.16G   0.03272  0.008621         0   0.04134        18       768         0         0   0.09731   0.02416   0.05676  0.004784         0
    65/399     8.16G   0.03395  0.008433         0   0.04238        18       768         1   0.02326    0.1633   0.04528   0.05969  0.004757         0
    66/399     8.16G   0.03347  0.008735         0    0.0422        17       768         1   0.02326     0.152    0.0438   0.05616  0.004685         0
    67/399     8.16G   0.03035   0.00845         0    0.0388        18       768         0         0    0.1323   0.03355   0.06043  0.004689         0
    68/399     8.16G   0.03236  0.008026         0   0.04038        18       768         1   0.02326    0.1827   0.05951   0.05554  0.004785         0
    69/399     8.16G   0.03678  0.008469         0   0.04525        18       768         0         0    0.1668   0.03286   0.05757  0.004691         0
    70/399     8.16G   0.03349   0.00819         0   0.04168        18       768         0         0    0.1537   0.04054   0.05767  0.004587         0
    71/399     8.16G    0.0344  0.008055         0   0.04246        18       768         0         0    0.1385   0.03086   0.05418  0.004635         0
    72/399     8.16G   0.03469  0.008446         0   0.04314        18       768         0         0   0.08282   0.02535   0.05859  0.004444         0
    73/399     8.16G   0.03559  0.008527         0   0.04412        17       768         0         0    0.1205   0.03281   0.05969  0.004652         0
    74/399     8.16G    0.0335  0.008283         0   0.04179        18       768         1   0.02326    0.2153   0.06138   0.05989  0.004676         0
